ID	Day	Empty	Multiple	Dead.Stain..intensity.	Total.Reads	Uniquely Aligned
d0_Col_09_Row_32	0	FALSE	FALSE	66.798	690473	358690
d0_Col_09_Row_33	0	FALSE	FALSE	66.964	465371	220651
d0_Col_09_Row_34	0	FALSE	FALSE	66.434	337227	164482
d0_Col_09_Row_35	0	FALSE	FALSE	66.547	459784	218986
d0_Col_09_Row_36	0	FALSE	FALSE	66.788	421174	213762
d0_Col_09_Row_37	0	FALSE	FALSE	66.458	368340	177052
d0_Col_09_Row_38	0	FALSE	FALSE	85.524	51573	20989
d0_Col_09_Row_39	0	FALSE	FALSE	129.88	21725	8773
d0_Col_09_Row_40	0	FALSE	FALSE	402	8070	3054
d0_Col_10_Row_1	0	FALSE	FALSE	405.895	6932	3388
d0_Col_10_Row_2	0	FALSE	FALSE	66.828	380269	186436
d0_Col_10_Row_3	0	FALSE	FALSE	66.988	478377	237252
d0_Col_10_Row_4	0	FALSE	FALSE	67.216	389899	189199
d0_Col_10_Row_5	0	FALSE	FALSE	66.801	138535	67153
d0_Col_10_Row_6	0	FALSE	FALSE	72.581	234540	109249
d0_Col_10_Row_7	0	FALSE	FALSE	66.699	432939	216354
d0_Col_10_Row_8	0	FALSE	FALSE	193.809	50925	24694
d0_Col_10_Row_9	0	TRUE	FALSE	67.197	20336	10052
d0_Col_10_Row_10	0	TRUE	FALSE	66.858	19953	10155
d0_Col_10_Row_11	0	FALSE	FALSE	66.746	351794	183177
d0_Col_10_Row_12	0	FALSE	FALSE	67.086	574535	289987
d0_Col_10_Row_13	0	FALSE	FALSE	66.774	501658	249602
d0_Col_10_Row_14	0	FALSE	FALSE	141.918	55517	23328
d0_Col_10_Row_15	0	FALSE	FALSE	66.214	23423	10923
d0_Col_10_Row_16	0	FALSE	FALSE	67.157	528203	268514
d0_Col_10_Row_17	0	FALSE	FALSE	414.822	74963	35674
d0_Col_10_Row_18	0	FALSE	FALSE	66.59	415868	210972
d0_Col_10_Row_19	0	FALSE	FALSE	66.315	360288	186313
d0_Col_10_Row_20	0	FALSE	FALSE	66.453	384786	186475
d0_Col_10_Row_21	0	FALSE	FALSE	66.909	399427	207163
d0_Col_10_Row_22	0	FALSE	TRUE	66.893	573596	290317
d0_Col_10_Row_23	0	FALSE	FALSE	557.86	56320	26279
d0_Col_10_Row_24	0	FALSE	FALSE	66.571	393642	193566
d0_Col_10_Row_25	0	FALSE	FALSE	66.246	301965	158874
d0_Col_10_Row_26	0	FALSE	FALSE	66.437	381693	188171
d0_Col_10_Row_27	0	FALSE	FALSE	66.601	212616	108729
d0_Col_10_Row_28	0	FALSE	FALSE	66.653	185028	92074
d0_Col_10_Row_29	0	FALSE	FALSE	76.133	352195	173664
d0_Col_10_Row_30	0	FALSE	FALSE	66.381	215708	110087
d0_Col_10_Row_31	0	FALSE	FALSE	66.653	246487	126657
d0_Col_10_Row_32	0	FALSE	FALSE	356.742	27750	13104
